注册会计师执行的下列审计程序中与实现采购交易截止目标不相关的有( )。,追查存货的采购记录至存货永续盘存记录,将验收单和卖方发票上的日期与采购明细账中的日期进行比较,参照卖方发票，比较会计科目表上的分类,从验收单追查至采购明细账,第十章采购与付款循环的审计,ACD,选项A与采购交易发生认定相关，选项C与采购交易分类认定相关，选项D与采购交易完整性认定相关。【知识点】采购与付款循环的内部控制,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/132923.html">2020年注册会计师考试《审计》每日一练(6-23)</a>,多选 审计
适当的职责分离有助于防止各种有意或无意的错误，采购与付款业务不相容岗位包括()。,询价与确定供应商,请购与审批,付款审批与付款执行,采购合同的订立与审批,第十章采购与付款循环的审计,ABCD,采购与付款交易不相容岗位至少包括：请购与审批;询价与确定供应商;采购合同的订立与审批;采购与验收;采购、验收与相关会计记录;付款审批与付款执行。【知识点】采购与付款循环的内部控制,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/132923.html">2020年注册会计师考试《审计》每日一练(6-23)</a>,多选 审计
注册会计师在审计A公司时，遇到了以下情况，其中可能存在重大错报风险的有( )。,会计人员将需要费用化的支出进行了资本化,公司12月11日销售一批商品，合同约定试用一个月，会计人员在当期没有确认收入,公司存在一笔应收账款，对方已经破产，应收账款很有可能不能收回，会计人员对其全额计提坏账,公司经营大型零售业务，仓库货物摆放混乱，存货记录不完整,第十章采购与付款循环的审计,AD,选项A，对于需要进行费用化的支出进行资本化，会导致费用减少，利润虚增，存在重大错报风险;选项D，A公司仓库货物摆放混乱，存货记录不完整，导致员工和客户发生舞弊和盗窃的风险极高，存在重大错报风险。【知识点】采购与付款循环评估重大错报风险,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/132923.html">2020年注册会计师考试《审计》每日一练(6-23)</a>,多选 审计
下列情形中，注册会计师应当设计和实施控制测试的有( )。,控制设计合理，但可能没有得到执行,仅通过实施实质性程序并不能够提供认定层次充分、适当的审计证据,在评估认定层次重大错报风险时，预期控制的运行是有效的,注册会计师拟信赖控制运行的有效性,第十章采购与付款循环的审计,BCD,当存在下列情形之一时，注册会计师应当设计和实施控制测试：(1)在评估认定层次重大错报风险时，预期控制的运行是有效的(即在确定实质性程序的性质、时间安排和范围时，注册会计师拟信赖控制运行的有效性);(2)仅实施实质性程序并不能够提供认定层次充分、适当的审计证据。【知识点】根据重大错报风险的评估结果设计进一步审计程序,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/132923.html">2020年注册会计师考试《审计》每日一练(6-23)</a>,多选 审计
假定不考虑审计重要性水平，A注册会计师对下列事项应提出审计调整建议的有( )。,L公司2012年10月从母公司购买办公楼，并于当月启用，该办公楼自2012年11月起计提折旧，截止2012年12月31日，L公司尚未取得该办公楼的产权证明,为保持某设备的生产能力，L公司对该设备进行日常修理，发生2万元维修费，并将其计入固定资产账面价值,因尚未办理竣工决算，L公司对于2012年5月启用的厂房暂估入账，并按规定计提折旧，该厂房的竣工决算于2012年12月25日完成，对固定资产原值和已计提的折旧均于该日进行了调整,L公司的某台生产设备因关键部件老化而经常生产大量不合格产品，因此，L公司对该设备全额计提了减值准备,第十章采购与付款循环的审计,BC,选项A，固定资产虽未取得产权证明，但本着实质重于形式的原则，L公司应对此固定资产计提折旧;选项B，不符合资本化的条件，所以应对L公司已经资本化的改造费用进行调整;选项C，对于已计提的折旧无需调整。【知识点】采购与付款循环以风险为起点的控制测试,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/132923.html">2020年注册会计师考试《审计》每日一练(6-23)</a>,多选 审计
下列关于识别收入确认舞弊风险运用分析程序的说法中，错误的是( )。,如果注册会计师发现被审计单位大量的销售因不能收现而导致应收账款大量增加，需要对销售收入的完整性予以额外关注,分析程序是一种识别收入确认舞弊风险的较为有效的方法,将销售毛利率、应收账款周转率、存货周转率等关键财务指标与可比期间数据、预算数或同行业其他企业数据进行比较,将本期销售收入金额与以前可比期间的预算数进行比较，分析差异原因,第九章 销售与收款循环的审计,A,如果注册会计师发现被审计单位不断地为完成销售目标而增加销售量，或者大量的销售因不能收现而导致应收账款大量增加，需要对销售收入的真实性(发生)而非完整性认定予以额外关注。【知识点】收入舞弊风险的分析,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/132273.html">2020年注册会计师考试《审计》每日一练(6-19)</a>,单选 审计
为证实登记入账的销售交易均是真实的，注册会计师应实施的检查程序是( )。,了解客户信用情况，确定是否符合企业的赊销政策,检查登记入账的销售交易所附的原始凭证,检查发运凭证的连续性，并将其与主营业务收入明细账核对,检查会计记录中的数据以验证其正确性,第九章 销售与收款循环的审计,B,选项A，证实销售交易均经适当审批;选项C，证实所有销售交易均已登记入账;选项D，证实登记入账的销售交易金额准确。【知识点】细节测试的方向,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/132273.html">2020年注册会计师考试《审计》每日一练(6-19)</a>,单选 审计
下列能够发现被审计单位营业收入发生认定存在重大错报风险的审计程序是( )。,从发运凭证追查至营业收入明细账,从营业收入明细账追查至发运凭证,从发运凭证追查至销售发票,从营业收入明细账追查至银行对账单,第九章 销售与收款循环的审计,B,以账簿记录为起点追查至发运凭证，属于逆查，是证实发生认定的有效审计程序。【知识点】细节测试的方向,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/132273.html">2020年注册会计师考试《审计》每日一练(6-19)</a>,单选 审计
企业在批准了客户订购单之后，会编制一式多联的销售单，该项活动与销售交易的( )认定相关。,准确性,发生,完整性,截止,第九章 销售与收款循环的审计,B,接受客户订购单并编制销售单，表明销售业务的开始，与销售交易的“发生”认定相关。【知识点】销售与收款循环的相关内部控制与相关的认定,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/132273.html">2020年注册会计师考试《审计》每日一练(6-19)</a>,单选 审计
注册会计师针对营业收入的准确性认定实施的下列审计程序中，最有效的是( )。,从营业收入明细账追查至销售发票、发运凭证,抽取营业收入明细账中前后若干天的记账凭证，追查至发运凭证、客户签收单,函证应收账款,抽查并重新计算营业收入,第九章 销售与收款循环的审计,D,选项A，可以证实发生认定;选项B，可以证实截止测试;选项C，可以证实应收账款的存在认定，进而证实营业收入的发生认定。【知识点】注册会计师的审计程序与相关认定,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/132273.html">2020年注册会计师考试《审计》每日一练(6-19)</a>,单选 审计
针对下列被审计单位制定的内部控制中，注册会计师认可的有()。,只有附有装运凭证、销售发票才能够登记主营业务收入明细账,销售发票应事先连续编号,应收账款记账员定期向客户寄送对账单,记录销售的职责与处理销售交易的其他功能相分离,第九章 销售与收款循环的审计,ABD,应由独立于应收账款、营业收入和负责现金收取的人员向客户寄发对账单，并要求客户将任何例外情况直接向指定的未执行或记录销售交易的会计主管报告。【知识点】销售与收款循环的相关内部控制,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/131918.html">2020年注册会计师考试《审计》每日一练(6-18)</a>,多选 审计
