在进行年度财务报表审计时，为了证实被审计单位在临近 12 月 31 日签发的支票未予入账，注册会计师可以实施的审计程序有( )。 ,函证 12 月 31 日的银行存款余额,审查 12 月份的支票存根,审查 12 月 31 日的银行对账单,审查 12 月 31 日的银行存款余额调节表,第十二章 货币资金的审计,A,如果在完成审计工作后发现舞弊导致的财务报表重大错报， 特别是串通舞弊或伪造文件记录导致的重大错报，并不一定表明注册会计师没有遵守审 计准则，所以选项 A 错误。【知识点】注册会计师的责任,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/136603.html">2020年注册会计师考试《审计》每日一练(7-10)</a>,多选 审计
注册会计师寄发的银行询证函( )。 ,属于积极式函证,要求银行直接回函至会计师事务所,是以被审计单位的名义发往开户银行,函证对象包括银行存款和借款余额等,第十二章 货币资金的审计,A,编制虚假财务报告导致的重大错报风险与侵占资产导致的重大错报风险之间没有明显的大小关系，侵占资产通常伴随着虚假或误导性的文件记录。【知识点】舞弊风险,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/136603.html">2020年注册会计师考试《审计》每日一练(7-10)</a>,多选 审计
当被审计单位可能存在资金体外循环时，注册会计师针对银行账户实施的审计程序正确的有( )。 ,了解并评价被审计单位开立账户的管理控制措施,关注原始单据中收付款银行账户是否包含已经获取的开立银行账户清单内,询问出纳人员了解银行账户的开立、使用、注销等情况,对被审计单位记录的所有银行存款账户实施函证,第十二章 货币资金的审计,B,舞弊者具有舞弊的动机是舞弊发生的首要条件。【知识点】舞弊风险三角模型,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/136603.html">2020年注册会计师考试《审计》每日一练(7-10)</a>,多选 审计
编制虚假财务报告，可能源于管理层通过操纵利润误导财务报表使用者对被审计 单位业绩或盈利能力的判断，通过编制虚假财务报告以达到舞弊目的的手段不包括( )。,对交易、事项或其他重要信息在财务报表中的不真实表达或故意遗漏,对财务报表所依据的会计记录或相关文件记录的操纵.伪造或篡改,对与确认、计量、分类或披露有关的会计政策和会计估计的故意误用,管理层在购货时收取回扣,第十三章 对舞弊和法律法规的考虑,D,选项 A、C 属于舞弊的动机，选项 B 属于舞弊的机会。【知识点】舞弊风险三角模型,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/136603.html">2020年注册会计师考试《审计》每日一练(7-10)</a>,单选 审计
针对舞弊导致的重大错报风险，下列说法中正确的是( )。(2015 年),被审计单位管理层对防止或发现舞弊负有全部责任,注册会计师对财务报表整体存在由于舞弊或错误导致的重大错报获取合理保证,未发现被审计单位的舞弊行为，表明注册会计师工作失误,注册会计师不能对财务报表整体不存在重大错报获取绝对保证,第十三章 对舞弊和法律法规的考虑,C,选项 A、B 属于机会舞弊风险因素;选项D 属于态度或借口舞弊风险因素。【知识点】舞弊风险三角模型,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/136603.html">2020年注册会计师考试《审计》每日一练(7-10)</a>,单选 审计
在进行年度财务报表审计时，为了证实被审计单位在临近 12 月 31 日签发的支票未予入账，注册会计师可以实施的审计程序有( )。 ,函证 12 月 31 日的银行存款余额,审查 12 月份的支票存根,审查 12 月 31 日的银行对账单,审查 12 月 31 日的银行存款余额调节表,第十二章 货币资金的审计,ABCD,如持票人于 12 月 31 日以前到银行办完相关手续，则选项 ACD 都是有效的;另一方面，无论持票人何时办完相关手续，其年前签发的支票均可以通过检查支票存根加以证实(因存根有连续编号)。【知识点】银行存款的实质性程序,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/136338.html">2020年注册会计师考试《审计》每日一练(7-9)</a>,多选 审计
注册会计师寄发的银行询证函( )。 ,属于积极式函证,要求银行直接回函至会计师事务所,是以被审计单位的名义发往开户银行,函证对象包括银行存款和借款余额等,第十二章 货币资金的审计,ABCD,选项 ABCD 均属于银行询证函的特点。【知识点】银行存款的实质性程序 函证,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/136338.html">2020年注册会计师考试《审计》每日一练(7-9)</a>,多选 审计
当被审计单位可能存在资金体外循环时，注册会计师针对银行账户实施的审计程序正确的有( )。 ,了解并评价被审计单位开立账户的管理控制措施,关注原始单据中收付款银行账户是否包含已经获取的开立银行账户清单内,询问出纳人员了解银行账户的开立、使用、注销等情况,对被审计单位记录的所有银行存款账户实施函证,第十二章 货币资金的审计,ABC,选项 D 可以证实存在认定，无法证实完整性认定。【知识点】银行存款的实质性程序,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/136338.html">2020年注册会计师考试《审计》每日一练(7-9)</a>,多选 审计
编制虚假财务报告，可能源于管理层通过操纵利润误导财务报表使用者对被审计 单位业绩或盈利能力的判断，通过编制虚假财务报告以达到舞弊目的的手段不包括( )。,对交易、事项或其他重要信息在财务报表中的不真实表达或故意遗漏,对财务报表所依据的会计记录或相关文件记录的操纵.伪造或篡改,对与确认、计量、分类或披露有关的会计政策和会计估计的故意误用,管理层在购货时收取回扣,第十三章 对舞弊和法律法规的考虑,D,选项 ABC 是管理层编制虚假财务报告的通常表现，选项 D是侵占资产中的舞弊手段。【知识点】舞弊的种类,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/136338.html">2020年注册会计师考试《审计》每日一练(7-9)</a>,单选 审计
针对舞弊导致的重大错报风险，下列说法中正确的是( )。(2015 年),被审计单位管理层对防止或发现舞弊负有全部责任,注册会计师对财务报表整体存在由于舞弊或错误导致的重大错报获取合理保证,未发现被审计单位的舞弊行为，表明注册会计师工作失误,注册会计师不能对财务报表整体不存在重大错报获取绝对保证,第十三章 对舞弊和法律法规的考虑,D,被审计单位治理层和管理层对防止或发现舞弊负有主要责任(A);注册会计师对财务报表整体是否不存在由于舞弊或错误导致的重大错报获取合 理保证(B);如果在完成审计工作后发现舞弊导致的财务报表重大错报，特别是串通舞弊或伪造文件记录导致的重大错报，并不必然表明注册会计师没有遵守审计准则(C)。【知识点】治理层、管理层的责任 注册会计师的责任,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/136338.html">2020年注册会计师考试《审计》每日一练(7-9)</a>,单选 审计
下列审计程序中，通常不能为定期存款的存在认定提供可靠的审计证据的是( )。(2016 年) ,对未质押的定期存款检查开户证书原件,函证定期存款的相关信息,对于资产负债表日后到期的定期存款，核对兑付凭证,对已质押的定期存款，检查定期存单复印件,第十二章 货币资金的审计,D,对已质押的定期存款，检查定期存单复印件，并与相应的质押合同核对，因为定期存单的复印件可靠性相对较低，可能存在复印件造假的情况。【知识点】银行存款的实质性程序,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/135323.html">2020年注册会计师考试《审计》每日一练(7-6)</a>,单选 审计
甲公司编制的 2011 年12 月末银行存款余额调节表显示存在 120 000 元的未达账项，其中包括甲公司已付而银行未付的材料采购款 100 000 元。以下审计程序中，为该材料采购款未达账项的真实性提供的审计证据无效的是( )。,检查 2012 年 1 月份的银行对账单,检查相关的采购合同、供应商销售发票和付款审批手续,就 2011 年 12 月末银行存款余额向银行寄发银行询证函,向相关的原材料供应商寄发询证函,第十二章 货币资金的审计,C,由于在 12 月末供应商尚未办理转账，所以向银行函证 12月末的银行存款余额是无效的。【知识点】银行存款的实质性程序 银行存款余额调节表,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/135323.html">2020年注册会计师考试《审计》每日一练(7-6)</a>,单选 审计
N 公司某银行账户的银行对账单余额为 585 000 元，在审查 N 公司编制的该账户银行存款余额调节表时，A 注册会计师注意到以下事项：N 公司已收、银行尚未入账的某公司销货款 100 000 元;N 公司已付、银行尚未入账的预付某公司材料款 50 000 元;银行已收、N 公司尚未入账的某公司退回的押金 35 000 元;银行已代扣、N 公司尚未入账的水电费 25 000 元。假定不考虑审计重要性水平，A 注册会计师审计后确认该账户的银行存款日记账余额应是( )元。,625 000,635 000,575 000,595 000,第十二章 货币资金的审计,B,确认的银行存款日记账余额=585 000+100 000-50 000=635 000(元)。【知识点】银行存款的实质性程序 银行存款余额调节表,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/135323.html">2020年注册会计师考试《审计》每日一练(7-6)</a>,单选 审计
N 公司某银行账户的银行存款对账单余额与银行存款日记账余额不符，A 注册会计师应当执行的最有效的审计程序是( )。,重新测试相关的内部控制,审查银行对账单中记录的该账户资产负债表日前后的收付情况,审查银行存款日记账中记录的该账户资产负债表日前后的收付情况,审查该账户的银行存款余额调节表,第十二章 货币资金的审计,D,对于银行账户的银行对账单余额与银行存款日记账余额不符最有可能是由于未达账项引起的，所以审查该账户的银行存款余额调节表是最有效的 审计程序。【知识点】银行存款的实质性程序,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/135323.html">2020年注册会计师考试《审计》每日一练(7-6)</a>,单选 审计
