下列各项中，属于针对舞弊导致的认定层次重大错报风险实施的审计程序有()。,在不预先通知的情况下对特定存放地点的存货实施监盘,将询问范围延伸至管理层和会计部门以外的人员，以印证管理层完成与作出会计估计相关的计划的能力和意图,向第三方函证合同的具体条款,评价被审计单位对会计政策的选择和运用，是否可能表明管理层通过操纵利润对财务信息做出虚假报告,第十三章 对舞弊和法律法规的考虑,ABC,选项D属于针对评估的由于舞弊导致的财务报表层次重大错报风险的总体应对措施。【知识点】应对舞弊导致的认定层次的重大错报风险,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/138023.html">2020年注册会计师考试《审计》每日一练(7-17)</a>,多选 审计
下列审计程序中，注册会计师认为通常可以增加审计程序不可预见性的有()。,向被审计单位的客户函证相关的特定合同条款以及是否存在背后协议,运用与以往不同的抽样方法选择需要检查的存货,向以前审计过程中接触不多的员工询问存货采购和销售情况,在存货监盘时对大额存货进行抽盘,第十三章 对舞弊和法律法规的考虑,ABC,选项D属于常用审计程序。【知识点】增加审计程序的不可预见性,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/138023.html">2020年注册会计师考试《审计》每日一练(7-17)</a>,多选 审计
以下事项中，导致注册会计师继续执行审计业务的能力产生怀疑的异常情形的有()。,注册会计师对由于舞弊导致的重大错报风险的考虑以及实施审计测试的结果，表明存在舞弊风险,注册会计师对管理层的胜任能力产生重大疑虑,注册会计师对治理层的诚信产生重大疑虑,被审计单位没有针对舞弊采取适当的、注册会计师根据具体情况认为必要的措施，即使该舞弊对财务报表并不重大,第十三章 对舞弊和法律法规的考虑,BCD,导致注册会计师继续执行审计业务的能力产生怀疑的异常情形包括：(1)被审计单位没有针对舞弊采取适当的、注册会计师根据具体情况认为必要的措施，即使该舞弊对财务报表并不重大(选项D);(2)注册会计师对由于舞弊导致的重大错报风险的考虑以及实施审计测试的结果，表明存在重大且广泛的舞弊风险(选项A错误);(3)注册会计师对管理层或治理层的胜任能力或诚信产生重大疑虑(选项B、C)。【知识点】无法继续执行审计业务的异常情形,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/138023.html">2020年注册会计师考试《审计》每日一练(7-17)</a>,多选 审计
在设计和实施测试日常会计核算过程中作出的会计分录以及编制财务报表过程中作出的其他调整是否适当时，注册会计师的做法正确的有()。(2015年),向不参与财务报告过程的人员询问是否存在异常情况,向参与财务报告过程的人员询问与处理会计分录和其他调整相关的不恰当或异常的活动,选择在报告期末作出的会计分录和其他调整实施测试,考虑是否有必要测试整个会计期间的会计分录和其他调整,第十三章 对舞弊和法律法规的考虑,BCD,选项A，不参与财务报告编制的人员无法了解其中情况，因此询问是无效的。【知识点】会计分录测试,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/138023.html">2020年注册会计师考试《审计》每日一练(7-17)</a>,多选 审计
注册会计师在审计过程中可以通过下列()识别特征来识别虚假会计分录。,分录由平时负责作出会计分录的人员作出,分录在编制财务报表之前或编制过程中作出且没有科目代码,分录涉及不相关、异常或很少使用的账户,分录在期末或结账过程中作出，且没有或只有很少的解释或描述,第十三章 对舞弊和法律法规的考虑,BCD,选项A应为“分录由平时不负责作出会计分录的人员作出”。【知识点】不恰当的会计分录或其他调整的识别特征,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/138023.html">2020年注册会计师考试《审计》每日一练(7-17)</a>,多选 审计
在财务报表舞弊风险的评估中，审计项目组会组织讨论，讨论的内容可能包括()。,可能表明管理层操纵利润的迹象,注册会计师注意到的舞弊指控,管理层凌驾于控制之上的风险,强调在整个审计过程中对由于舞弊导致重大错报的可能性保持适当关注的重要性,第十三章 对舞弊和法律法规的考虑,D,可能使注册会计师注意到识别出或怀疑存在的违反法律法规性行为的审计程序包括：阅读会议纪要;向被审计单位管理层.内部或外部法律顾问询问诉讼.索赔及评估情况;对某类交易、账户余额或披露实施细节测试。【知识点】识别出或怀疑存在违反法律法规行为时实施的审计程序,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/137795.html">2020年注册会计师考试《审计》每日一练(7-16)</a>,多选 审计
以下事项中，可能表明管理层存在舞弊动机或压力的有()。,在被审计单位中拥有重大经济利益,治理层为管理层设定了过高的销售业绩指标,从事重大、异常或高度复杂的交易,管理层在过于乐观的新闻报道和年报信息中作出的预期,第十三章 对舞弊和法律法规的考虑,A,如果根据判断认为需要沟通的违反法律法规行为是故意和重大的，注册会计师应当就此尽快向治理层通报。【知识点】对识别出的或怀疑存在的违反法律法规行为的报告,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/137795.html">2020年注册会计师考试《审计》每日一练(7-16)</a>,多选 审计
下列各项做法中，可以应对舞弊导致的重大错报风险的有()。(2014年),选取以前年度未寄发询证函的客户的应收账款余额实施函证,在同一天对所有存放在不同地点的存货实施监盘,扩大营业收入细节测试的样本规模,通过实地走访，核实供应商和客户真实存在,第十三章 对舞弊和法律法规的考虑,BD,A、C中所陈述的两种失误不具有可比性。【知识点】舞弊风险,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/137795.html">2020年注册会计师考试《审计》每日一练(7-16)</a>,多选 审计
为应对管理层凌驾于控制之上的风险，下列审计程序中，注册会计师应当在所有审计业务中实施的有()。(2018年),对报告期末作出的会计分录和其他调整实施测试,复核会计估计是否存在偏向,对关联方交易及余额实施函证程序,对营业收入实施实质性分析程序,第十三章 对舞弊和法律法规的考虑,ABCD,侵占资产可以通过以下方式实现：贪污收(第十三章到的款项.盗窃实物资产或无形资产.使被审计单位对未收到的商品或未接受的劳务付款.将被审计单位资产挪为私用。【知识点】舞弊的种类侵占资产,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/137795.html">2020年注册会计师考试《审计》每日一练(7-16)</a>,多选 审计
在对编制虚假财务报告导致的错报的舞弊风险因素中，下列可能提供了管理层实施舞弊的便利机会的有()。,被审计单位正在与外部独立第三方进行重大资产重组交易,被审计单位大量通过代理商开展市场销售,管理层拥有被审计单位10%的股权,被审计单位连续多年在所从事行业中占有重大份额,第十三章 对舞弊和法律法规的考虑,ABC,选项D属于被审计单位治理层的责任。【知识点】管理层的责任,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/137795.html">2020年注册会计师考试《审计》每日一练(7-16)</a>,多选 审计
下列审计程序中，通常不能识别被审计单位违反法律法规行为的是()。,阅读董事会和管理层的会议纪要,向管理层、内部或外部法律顾问询问诉讼、索赔及评估情况,对营业外支出中的罚款及滞纳金支出实施细节测试,获取管理层关于被审计单位不存在违反法律法规行为的书面声明,第十三章 对舞弊和法律法规的考虑,D,可能使注册会计师注意到识别出或怀疑存在的违反法律法规性行为的审计程序包括：阅读会议纪要;向被审计单位管理层.内部或外部法律顾问询问诉讼.索赔及评估情况;对某类交易、账户余额或披露实施细节测试。【知识点】识别出或怀疑存在违反法律法规行为时实施的审计程序,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/137433.html">2020年注册会计师考试《审计》每日一练(7-15)</a>,单选 审计
