下列有关会计分录测试的说法中，正确的有()。,在所有财务报表审计业务中，注册会计师均应当实施会计分录测试,注册会计师应当对待测试会计分录总体实施完整性测试,即使被审计单位对会计分录和其他调整实施的控制有效，注册会计师也不可以缩小会计分录的测试范围,会计分录测试的对象包括被审计单位编制合并报表时作出的抵销分录,第十三章 对舞弊和法律法规的考虑,ABD,被审计单位对会计分录和其他调整实施的控制有效，注册会计师可以适当缩小会计分录的测试范围。【知识点】会计分录测试,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/138324.html">2020年注册会计师考试《审计》每日一练(7-20)</a>,多选 审计
基于会计分录测试的目的，注册会计师可将被审计单位的会计分录和其他调整分录分为()。,标准会计分录,非标准会计分录,其他调整,标准调整,第十三章 对舞弊和法律法规的考虑,ABC,基于会计分录测试的目的，注册会计师可将被审计单位的会计分录和其他调整分录分为三种类型：标准会计分录、非标准会计分录、其他调整。【知识点】会计分录和其他调整的类型,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/138324.html">2020年注册会计师考试《审计》每日一练(7-20)</a>,多选 审计
下列各项中，通常对决定财务报表中的重大金额和披露有直接影响的法律法规的有()。,税收方面的法律法规,企业年金方面的法律法规,经营许可条件,监管机构对环境保护的要求,第十三章 对舞弊和法律法规的考虑,AB,选项CD属于对决定财务报表中的金额和披露没有直接影响的其他法律法规。【知识点】法律法规的分类,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/138324.html">2020年注册会计师考试《审计》每日一练(7-20)</a>,多选 审计
当发现被审计单位管理层存在严重违反法规行为时，注册会计师可能采取的应对措施有()。,向被审计单位的审计委员会报告,向监管机构报告,出具保留或否定意见的审计报告,解除业务约定,第十三章 对舞弊和法律法规的考虑,ABCD,如果发现被审计单位存在严重违反法规行为，注册会计师应当考虑法律法规是否要求其向监管机构报告;如果管理层或治理层没有采取注册会计师认为适合具体情况的补救措施，注册会计师也可能考虑是否有必要解除业务约定。【知识点】对识别出的违反法律法规行为的报告,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/138324.html">2020年注册会计师考试《审计》每日一练(7-20)</a>,多选 审计
关于注册会计师与被审计单位治理层的沟通，下列说法中，正确的是()。,对于与治理层沟通的事项，应当事先与管理层讨论,对于涉及舞弊等敏感信息的沟通，应当避免书面记录,与治理层沟通的书面记录是一项审计证据，所有权属于会计师事务所,如果注册会计师应治理层的要求向第三方提供为治理层编制的书面沟通文件的副本，注册会计师有责任向第三方解释其在使用中产生的疑问,第十四章 审计沟通,C,选项A，在与治理层沟通某些事项前，注册会计师可能就这些事项与管理层讨论，除非这种做法并不适当。例如，就管理层的胜任能力或诚信与其讨论可能是不适当的;选项B，对于涉及舞弊等敏感信息的沟通，因为性质比较重要，应当采用书面形式进行沟通并予以记录;选项D，治理层可能希望向第三方(如银行或特定监管机构)提供注册会计师书面沟通文件的副本。在某些情况下，向第三方披露书面沟通文件可能是违法或不适当的。在向第三方提供为治理层编制的书面沟通文件时，在书面沟通文件中声明以下内容，告知第三方这些书面沟通文件不是为他们编制，可能是非常重要的：(1)书面沟通文件仅为治理层的使用而编制，在适当的情况下也可供集团管理层和集团注册会计师使用，但不应被第三方依赖;(2)注册会计师对第三方不承担责任;(3)书面沟通文件向第三方披露或分发的任何限制。但注册会计师没有责任向第三方解释其在使用中产生的疑问。【知识点】与治理层沟通沟通对象,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/138324.html">2020年注册会计师考试《审计》每日一练(7-20)</a>,单选 审计
在审计过程中，注册会计师需要与被审计单位治理层进行沟通，下列关于与治理层沟通的说法中，错误的是()。(2015年),首次承接委托时，与治理层的沟通随同就审计业务约定条款达成一致意见一并进行,在审计过程中遇到的重大困难，应汇总在完成审计工作时与治理层进行沟通,如果注册会计师与治理层之间的双向沟通不充分，且情况得不到解决，应当采取适当防范措施,对于审计准则要求的注册会计师的独立性，注册会计师应当以书面形式与治理层沟通,第十四章 审计沟通,B,选项B，对于审计中遇到的重大困难，应尽快与治理层沟通。【知识点】与治理层沟通沟通时间安排,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/139240.html">2020年注册会计师考试《审计》每日一练(7-22)</a>,单选 审计
如果注册会计师与治理层之间的双向沟通不充分，并且这种情况得不到解决，下列有关注册会计师采取的措施中，错误的是()。(2013年),根据范围受到限制的情况，发表非无保留意见或增加其他事项段,就采取不同措施的后果征询法律意见,与被审计单位外部的在治理结构中拥有更高权力的组织或人员进行沟通,在法律法规允许的情况下解除业务约定,第十四章 审计沟通,A,如果注册会计师与治理层之间的双向沟通不充分，并且这种情况得不到解决，注册会计师可以采取下列措施：(1)根据范围受到的限制发表非无保留意见(没有其他事项段，选项A错误)。(2)就采取不同措施的后果征询法律意见(选项B)。(3)与第三方(如监管机构)、被审计单位外部的在治理结构中拥有更高权力的组织或人员(如企业的业主，股东大会中的股东)或公共部门负责的政府部门进行沟通(选项C)。(4)在法律法规允许的情况下解除业务约定(选项D)。【知识点】与治理层沟通沟通不充分的影响,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/139240.html">2020年注册会计师考试《审计》每日一练(7-22)</a>,单选 审计
下列有关后任注册会计师的说法中，错误的是()。(2014年),当会计师事务所发生变更时，正在考虑接受委托的会计师事务所是后任注册会计师,当会计师事务所发生变更时，已经接受委托的会计师事务所是后任注册会计师,被审计单位的财务报表已经审计但需要重新审计时，接受委托执行重新审计的会计师事务所为后任注册会计师,会计师事务所以投标方式承接审计业务时，所有参与投标的会计师事务所均为后任注册会计师,第十四章 审计沟通,D,当会计师事务所以投标方式承接审计业务时，只有中标的会计师事务所才是后任注册会计师。【知识点】前任注册会计师的定义,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/139240.html">2020年注册会计师考试《审计》每日一练(7-22)</a>,单选 审计
下列有关前后任注册会计师的说法中，正确的是()。(2013年),前任注册会计师包括对前期财务报表执行审阅的注册会计师,在未发生会计师事务所变更的情况下，同处于某一会计师事务所的先后负责同一审计项目的不同注册会计师不属于前后任注册会计师的范畴,在发生会计师事务所变更的情况下，先后就职于不同会计师事务所的同一注册会计师不属于前后任注册会计师的范畴,如果委托人在相邻两个会计年度中连续变更多家会计师事务所，前任注册会计师不包括在后任注册会计师之前接受业务委托对当期财务报表进行审计但未完成审计工作的会计师事务所,第十四章 审计沟通,B,前任注册会计师，是指已对被审计单位上期财务报表进行审计，但被现任注册会计师接替的其他会计师事务所的注册会计师，选项A错误;前后任注册会计师指的就是会计师事务所发生变更的情形，选项B正确，选项C错误;当会计师事务所发生变更时(变更已经发生或正在进行之中)，前任注册会计师通常包含两种情况：(1)已对最近一期财务报表发表了审计意见的某会计师事务所的注册会计师。(2)接受委托但未完成审计工作的某会计师事务所的注册会计师，选项D错误。【知识点】前任注册会计师的定义,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/139240.html">2020年注册会计师考试《审计》每日一练(7-22)</a>,单选 审计
下列有关接受委托前，前后任注册会计师沟通的说法中，不正确的是()。,在征得被审计单位书面同意后，前任注册会计师应当根据所了解的事实，对后任注册会计师的合理询问及时作出充分答复,当会计师事务所以投标方式承接审计业务时，前任注册会计师需要对参与投标的会计师事务所的询问作出答复,如果收到被审计单位的限制或存在法律诉讼的顾虑，决定不向后任注册会计师作出充分答复，前任注册会计师应当向后任注册会计师表明其答复是有限的，并说明原因。,如果得到的答复是有限的，或未得到答复，后任注册会计师应当考虑是否接受委托,第十四章 审计沟通,B,当会计师事务所以投标方式承接审计业务时，前任注册会计师只需要对中标的会计师事务所(后任注册会计师)的询问作出答复，而无需对所有参与投标的会计师事务所的询问进行答复。【知识点】与前任注册会计师沟通的要求,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/139240.html">2020年注册会计师考试《审计》每日一练(7-22)</a>,单选 审计
下列关于注册会计师与治理层之间沟通的说法中，不正确的是()。,如果发现管理层存在重大舞弊行为，而且被审计单位董事会中的大多数成员都兼任高级管理职务，注册会计师可能需要与股东大会进行沟通,如果被审计单位设有内部审计职能，包括内部审计部门或专门的内部审计人员，注册会计师可以在与治理层沟通特定事项前，先与内部审计人员讨论有关事项,注册会计师应当就管理层的胜任能力和诚信问题与管理层进行沟通,注册会计师在确定与哪些适当人员沟通特定事项时，注册会计师应当利用在了解被审计单位及其环境时获取的有关治理结构和治理过程的信息,第十四章 审计沟通,C,对于审计中注意到的涉及管理层的胜任能力和诚信问题的沟通事项，由于管理层是这些事项的直接当事人，注册会计师应当直接与治理层沟通，并根据问题的严重程度确定是否有必要与治理层整体进行沟通。【知识点】与治理层沟通沟通对象,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/138828.html">2020年注册会计师考试《审计》每日一练(7-21)</a>,单选 审计
在与治理层沟通计划的审计范围和时间安排时，下列各项中，A注册会计师通常认为不宜沟通的是()。,重要性的具体金额,拟如何应对由于舞弊或错误导致的特别风险,对于审计相关的内部控制采取的方案,拟利用内部审计工作的程度,第十四章 审计沟通,A,有关计划的审计范围和时间安排，注册会计师应当考虑与治理层沟通的事项包括：(1)注册会计师拟如何应对由于舞弊或错误导致的重大错报风险。(2)注册会计师对与审计相关的内部控制采取的方案。(3)重要性的概念，但不宜涉及重要性的具体底线或金额。(4)可能适合与治理层讨论的计划方面的其他事项。【知识点】与治理层沟通沟通事项,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/138828.html">2020年注册会计师考试《审计》每日一练(7-21)</a>,单选 审计
下列各项中，注册会计师应当以书面形式与治理层沟通的是()。(2016年),审计过程中遇到的重大困难,计划的审计范围和时间安排,上市公司审计中注册会计师的独立性,审计中发现的所有内部控制缺陷,第十四章 审计沟通,C,选项A，审计过程中遇到的重大困难可以与治理层书面沟通，但不是应当以书面形式沟通;选项B，计划的审计范围和时间安排可以采用书面形式也可以口头形式沟通;选项C，上市公司审计中注册会计师的独立性应当采用书面形式沟通;选项D，在审计中发现的值得关注的内部控制缺陷应当采用书面形式与治理层沟通。【知识点】与治理层沟通沟通形式,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/138828.html">2020年注册会计师考试《审计》每日一练(7-21)</a>,单选 审计
如果被审计单位未纠正注册会计师在上一年度审计时识别出的值得关注的内部控制缺陷，注册会计师在执行本年度审计时，下列做法中，正确的是()。(2013年),在制定审计计划时予以考虑，不再与管理层沟通,以书面形式再次向治理层通报,在审计报告中增加强调事项段予以说明,在审计报告中增加其他事项段予以说明,第十四章 审计沟通,B,注册会计师应当以书面形式及时向治理层通报审计过程中识别出的值得关注的内部控制缺陷，选项B正确。【知识点】与治理层沟通沟通形式,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/138828.html">2020年注册会计师考试《审计》每日一练(7-21)</a>,单选 审计
下面各项中，注册会计师应当以书面形式与治理层沟通的是()。(2017年),注册会计师确定的关键审计事项,未更正错报,注册会计师识别出舞弊风险,注册会计师识别出的值得关注的内部控制缺陷,第十四章 审计沟通,D,对于审计准则要求的注册会计师独立性和值得关注的内部控制缺陷的沟通应当采用书面形式，其他的沟通事项根据职业判断可能采用口头形式也可能采用书面形式沟通。【知识点】与治理层沟通沟通形式,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/138828.html">2020年注册会计师考试《审计》每日一练(7-21)</a>,单选 审计
如果后任注册会计师在审计中发现前任注册会计师审计的财务报表存在重大错报，则后任注册会计师的下列处理中，不恰当的是()。,提请被审计单位告知前任注册会计师,三方会谈中双方注册会计师只能就部分审计财务报表报出后发现的、对已审计财务报表可能存在重大影响的信息进行沟通,如前任注册会计师无法参加三方会谈，后任注册会计师应该考虑对审计意见的影响或解除业务约定,必要时，后任注册会计师应当要求被审计单位安排三方会谈,第十四章 审计沟通,B,三方会谈中，前后任注册会计师应当就任何在已审计财务报表报出后发现的、对已审计财务报表可能存在重大影响的信息进行沟通，以便双方按照有关审计准则做出妥善处理，选项B不恰当。【知识点】发现前任注册会计师审计的财务报表存在重大错报时的处理,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/139553.html">2020年注册会计师考试《审计》每日一练(7-23)</a>,单选 审计
