下列选项中，不属于破产企业管理人应履行的职责有( )。,更换债权人委员会成员,决定债务人的内部管理事务,主持债权人会议,接管债务人的财产,第八章 企业破产法律制度,AC,更换债权人委员会成员，是债权人会议的职责，债权人会议是由债权人会议主席主持的，并非管理人主持。故本题正确答案为AC。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/133241.html">2020年注册会计师考试《经济法》每日一练(6-24)</a>,多选 经济法
根据《企业破产法司法解释(二)》的规定，下列财产应认定为债务人财产的是( )。,债务人企业中属于国家所有的厂房和土地,债务人企业基于承揽合同占有他人的加工材料,破产受理后债务人企业银行存款的利息,债务人在所有权保留买卖中尚未取得所有权的财产,第八章 企业破产法律制度,C,根据规定，下列财产不应认定为债务人财产：(1)债务人基于仓储、保管、承揽、代销、借用、寄存、租赁等合同或者其他法律关系占有、使用的他人财产;(2)债务人在所有权保留买卖中尚未取得所有权的财产;(3)所有权专属于国家且不得转让的财产;(4)其他。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/133241.html">2020年注册会计师考试《经济法》每日一练(6-24)</a>,单选 经济法
根据企业破产法律制度的规定，下列财产中，不属于债务人财产的有( )。,债务人基于仓储、保管、承揽、代销等合同或者其他法律关系占有、使用的他人财产,债务人在所有权保留买卖中尚未取得所有权的财产,所有权专属于国家且不得转让的财产,债务人依法享有的可以用货币估价并可以依法转让的债权、股权、知识产权、用益物权等财产和财产权益,第八章 企业破产法律制度,ABC,不应认定为债务人财产的有：(1)债务人基于仓储、保管、承揽、代销、借用、寄存、租赁等合同或者其他法律关系占有、使用的他人财产;(2)债务人在所有权保留买卖中尚未取得所有权的财产;(3)所有权专属于国家且不得转让的财产;(4)其他依照法律、行政法规不属于债务人的财产,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/133241.html">2020年注册会计师考试《经济法》每日一练(6-24)</a>,多选 经济法
某企业被人民法院受理破产申请后，该企业在人民法院受理破产申请前1年内发生的下列行为中，管理人有权请求人民法院予以撤销的是( )。,向关联企业转让一套关键生产设备,对关联企业的一项贷款合同提供保证担保,通过受让方式取得关联企业对外享有的一笔劳务费,对关联企业的一项无担保债权提供了质押担保,第八章 企业破产法律制度,D,根据规定，债务人在人民法院受理破产申请前1年内，对没有财产担保的债务提供财产担保的，管理人有权要求撤销该行为。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/133241.html">2020年注册会计师考试《经济法》每日一练(6-24)</a>,单选 经济法
2014年5月10日，人民法院受理了甲公司的破产案件。根据企业破产法律制度的规定，对甲公司的下列行为，管理人有权撤销的是( )。,2013年5月1日，甲公司将自己所有的价值10万元的机器设备无偿转让给乙公司,2013年6月8日，甲公司以高于市场价85%的价格购进一批原材料,2013年8月5日，甲公司偿还丙银行2014年8月5日到期的债务300万元,2013年10月2日，甲公司放弃对丁公司2013年10月1日到期的债权200万元,第八章 企业破产法律制度,BCD,人民法院受理破产申请前1年内，涉及债务人财产的下列行为，管理人有权请求人民法院予以撤销：(1)无偿转让财产的;(2)以明显不合理的价格进行交易的;(3)对没有财产担保的债权提供财产担保的;(4)对未到期的债权提前进行清偿的;(5)放弃债权的。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/133241.html">2020年注册会计师考试《经济法》每日一练(6-24)</a>,多选 经济法
下列关于执行案件移送破产审查中的执行法院决定程序的说法错误的是()。,执行法院作出移送决定后，应当于五日内送达申请执行人和被执行人。申请执行人或被执行人对决定有异议的，可以在受移送法院破产审查期间提出，由受移送法院一并处理,对被执行人的季节性商品、鲜活、易腐烂变质以及其他不宜长期保存的物品，执行法院应当及时变价处置，处置的价款不作分配,执行法院决定移送后、受移送法院裁定受理破产案件之前，对被执行人的查封、扣押、冻结措施解除,执行法院作出移送决定后，应当书面通知所有已知执行法院，执行法院均应中止对被执行人的执行程序,第八章 企业破产法律制度,C,为确保对被执行人财产的查封、扣押、冻结措施的连续性，执行法院决定移送后、受移送法院裁定受理破产案件之前，对被执行人的查封、扣押、冻结措施不解除。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/132599.html">2020年注册会计师考试《经济法》每日一练(6-22)</a>,单选 经济法
下列关于执行案件移送破产审查管辖的说法正确的是( )。,执行案件移送破产审查，由被执行人住所地人民法院管辖,在级别管辖上，实行以中级人民法院管辖为原则、基层人民法院管辖为例外的管辖制度,中级人民法院经高级人民法院批准，也可以将案件交由具备审理条件的基层人民法院审理,中级人民法院不能将案件交由具备审理条件的基层人民法院审理,第八章 企业破产法律制度,ABC,执行案件移送破产审查，由被执行人住所地人民法院管辖。在级别管辖上，实行以中级人民法院管辖为原则、基层人民法院管辖为例外的管辖制度。中级人民法院经高级人民法院批准，也可以将案件交由具备审理条件的基层人民法院审理。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/132599.html">2020年注册会计师考试《经济法》每日一练(6-22)</a>,多选 经济法
下列关于执行案件移送破产审查，应当符合的条件有( )。,被执行人为企业法人,受移送法院同意受理接受,被执行人或者有关被执行人的任何一个执行案件的申请执行人书面同意将执行案件移送破产审查,被执行人不能清偿到期债务，并且资产不足以清偿全部债务或者明显缺乏清偿能力,第八章 企业破产法律制度,ACD,执行案件移送破产审查，应同时符合下列条件：(1)被执行人为企业法人;(2)被执行人或者有关被执行人的任何一个执行案件的申请执行人书面同意将执行案件移送破产审查;(3)被执行人不能清偿到期债务，并且资产不足以清偿全部债务或者明显缺乏清偿能力。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/132599.html">2020年注册会计师考试《经济法》每日一练(6-22)</a>,多选 经济法
根据企业破产法律制度的规定，下列主体中，可以担任管理人的是( )。,与债权人存在尚未了结债务的人,曾被吊销注册会计师证书的人,破产案件受理的4年前曾担任债务人董事的人,因故意犯罪受过刑事处罚,第八章 企业破产法律制度,C,下列这些人员不得担任管理人：(1)因故意犯罪受过刑事处罚;(2)曾被吊销相关专业执业证书;(3)与本案有利害关系;(4)人民法院认为不宜担任管理人的其他情形。其中利害关系指：与债务人、债权人有未了结的债权债务关系;在人民法院受理破产申请前3年内，曾为债务人提供相对固定的中介服务;现在是或者在人民法院受理破产申请前3年内曾经是债务人、债权人的控股股东或者实际控制人。现在担任或者在人民法院受理破产申请前3年内曾经担任债务人、债权人的财务顾问、法律顾问。所以本题选C。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/132599.html">2020年注册会计师考试《经济法》每日一练(6-22)</a>,单选 经济法
根据企业破产法律制度的规定，下列人员中，可以担任破产企业管理人的是( )。,李某因故意伤害罪被判处5年有期徒刑，执行期满5年,律师王某曾被吊销律师执业证书,张某曾在2年前为债务人担任法律顾问,刚刚取得律师执业证书的刘某,第八章 企业破产法律制度,D,(1)选项AB：管理人可以由有关部门、机构的人员组成的清算组或者依法设立的律师事务所、会计师事务所、破产清算事务所等社会中介机构担任。有下列情形之一的，不得担任管理人：①因故意犯罪受过刑事处罚;②曾被吊销相关专业执业证书;③与本案有利害关系;④人民法院认为不宜担任管理人的其他情形。(2)选项C：现在担任或者在人民法院受理破产申请前3年内曾担任债务人、债权人的财务顾问、法律顾问。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/132599.html">2020年注册会计师考试《经济法》每日一练(6-22)</a>,单选 经济法
下列关于执行案件移送破产审查中的执行法院决定程序的说法错误的是()。,执行法院作出移送决定后，应当于五日内送达申请执行人和被执行人。申请执行人或被执行人对决定有异议的，可以在受移送法院破产审查期间提出，由受移送法院一并处理,对被执行人的季节性商品、鲜活、易腐烂变质以及其他不宜长期保存的物品，执行法院应当及时变价处置，处置的价款不作分配,执行法院决定移送后、受移送法院裁定受理破产案件之前，对被执行人的查封、扣押、冻结措施解除,执行法院作出移送决定后，应当书面通知所有已知执行法院，执行法院均应中止对被执行人的执行程序,第八章 企业破产法律制度,C,为确保对被执行人财产的查封、扣押、冻结措施的连续性，执行法院决定移送后、受移送法院裁定受理破产案件之前，对被执行人的查封、扣押、冻结措施不解除。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/132599.html">2020年注册会计师考试《经济法》每日一练(6-22)</a>,单选 经济法
