下列关于重整计划效力的相关说法中，符合《企业破产法》规定的是( )。,经人民法院裁定批准的重整计划，对债务人的特定财产享有担保权的债权无约束力,债权人未依法申报债权的，在重整计划执行期间不得行使权利,债务人不能执行或者不执行重整计划的，人民法院经管理人或者利害关系人请求，应当裁定终止重整计划的执行，并宣告债务人破产,人民法院裁定终止重整计划执行的，债权人在重整计划中作出的债权调整的承诺失去效力，但为重整计划的执行提供的担保继续有效,第八章 企业破产法律制度,BCD,根据《企业破产法》规定，经人民法院裁定批准的重整计划，对债务人和全体债权人均有约束力，包括债务人的特定财产享有担保权的债权人， 因此选项 A 的说法错误，故本题正确答案为 BCD。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/135026.html">2020年注册会计师考试《经济法》每日一练(7-3)</a>,多选 经济法
下列关于和解的表述中，说法正确的是( )。,和解债权人对债务人的保证人和其他连带债务人所享有的权利，会受到和解协议的影响,破产和解是强制和解，和解协议由法定多数表决即可通过，部分不同意的债权人也要受协议拘束,债务人不能执行或者不执行和解协议的，人民法院经破产管理人请求，应当裁定终止和解协议的执行，并宣告债务人破产,人民法院裁定终止和解协议执行的，和解债权人在和解协议中作出的债权调整的承诺失去效力，债务人方面为和解协议的执行提供的担保随之消灭,第八章 企业破产法律制度,B,(1)选项 A：和解债权人对债务人的保证人和其他连带债务人所享有的权利，不受和解协议的影响;(2)选项 C：债务人不能执行或者不执行和解协议的，人民法院经和解债权人请求，应当裁定终止和解协议的执行，并宣告债务 人破产;(3)选项 D：人民法院裁定终止和解协议执行的，和解债权人在和解协议中作出的债权调整的承诺失去效力，但债务人方面为和解协议的执行提供的担保继续有效。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/135026.html">2020年注册会计师考试《经济法》每日一练(7-3)</a>,单选 经济法
2017 年 1 月 1 日，王某的儿子在某机械厂宿舍楼平顶上玩耍时触电身亡。事故发生后，王某找到机械厂和供电公司要求赔偿。供电公司与王某达成协议，而王某与 机械厂则未达成协议，故王某将机械厂诉至法院。法院依法判令机械厂赔偿王某 15万元。2017 年 6 月 1 日，机械厂被法院宣告进入破产程序。2018 年 3 月 15 日，王某向法院申请执行。根据企业破产法律制度的规定，下列关于本案的处理中，正确的是( ) 。,15 万元赔偿费属于破产债权，王某申报后可与其他债权人一起按比例参与分配,15 万元赔偿费属于破产费用，可由法院裁定从破产财产中优先拨付,因机械厂已宣告进入破产程序，法院应判决中止王某申请的执行程序,对于王某申请执行案，法院应确定破产管理人而非机械厂为民事责任主体,第八章 企业破产法律制度,A,选项 A：王某的 15 万元债权有法院判决支持，且成立于破产受理前，可以作为普通债权申报、参加破产分配。选项 B：破产费用是在破产程序中为全体债权人的共同利益而支出的，旨在保障破产程序顺利进行所必需的程序上的费 用，王某的 15 万元债权发生于机械厂进入破产程序之前，并非为全体债权人共同利益而支出，亦并非为保障程序进行所必需，不应界定为破产费用，应申报普通债权。选 项 C：王某的执行申请于破产受理后提出，人民法院应不予受理(因尚未进入执行程序，没有中止的前提条件)，王某直接申报债权即可，“人民法院受理破产申请后， 有关债务人财产的保全措施应当解除，执行程序应当中止”针对的是破产受理时已经 进入执行程序的情况。选项 D：管理人有责任“代表”债务人(而非直接承受债务人的权利、义务)参加诉讼、仲裁或者其他法律程序。故本题正确答案为 A。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/135026.html">2020年注册会计师考试《经济法》每日一练(7-3)</a>,单选 经济法
甲公司向银行贷款 1000 万元，以自己的设备作抵押，乙公司为一般保证人，丙公司以汽车作抵押。后人民法院受理甲公司的破产申请。根据企业破产法律制度的规 定，下列表述中正确的是( )。,甲公司为自己的 1000 万元债务提供的抵押担保为别除权,乙公司为甲公司的 1000 万元债务提供的保证担保为别除权,丙公司为甲公司的 1000 万元债务提供的抵押担保为别除权,银行的 1000 万元借款作为别除权优先受偿,第八章 企业破产法律制度,A,别除权是指对破产企业的特定财产享有担保权的权利人，对该特定财产享有优先受偿的权利。(1)选项 BC：属于第三人为破产人所作的担保， 不是破产人的特定财产，所以不构成别除权。(2)选项 D：银行享有的债权中，只有甲公司的抵押担保为别除权，所以银行 1000 万元只有一部分可以优先受偿，而不是全部优先受偿。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/135026.html">2020年注册会计师考试《经济法》每日一练(7-3)</a>,单选 经济法
根据企业破产法律制度的规定，企业被宣告破产后，下列选项中，不构成别除权的情形有( )。,第三人为破产人的债务提供抵押担保,破产人为其他债务人的债务提供连带责任保证担保,破产人为自己的债务提供质押担保,破产人为其他债务人的债务提供抵押担保,第八章 企业破产法律制度,AB,别除权是指对破产企业的特定财产享有担保权的权利人，对该特定财产享有优先受偿的权利。(1)选项 A：因抵押物属于第三人(而非破产企业)，不构成别除权;(2)选项 B：别除权针对的是有财产担保的债权(如抵押、质押)，不涉及保证。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/135026.html">2020年注册会计师考试《经济法》每日一练(7-3)</a>,多选 经济法
根据企业破产法律制度的规定，下列关于债权人委员会的表述中，不正确的是( )。,在债权人会议中应当设置债权人委员会,债权人委员会的成员人数最多不得超过 7 人,债权人委员会中的债权人代表由人民法院指定,债权人委员会中应当有 1 名债务人企业的职工代表或者工会代表,第八章 企业破产法律制度,ABC,(1)选项 A：债权人会议“可以”(而非必须)决定设立债权人委员会;(2)选项 B：债权人委员会成员不得超过 9 人;(3)选项 C：债权人委员会中的债权人代表由“债权人会议选任”(并非由人民法院指定)。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/134702.html">2020年注册会计师考试《经济法》每日一练(7-2)</a>,多选 经济法
根据企业破产法律制度的规定，下列不可以参加重整计划草案表决的债权人是( )。,对债务人的特定财产享有担保权的债权人,债务人所欠工资的债权人,债务人所欠应划入职工个人账户的基本养老保险,债务人所欠缴的应纳入社会统筹账户的社会保险费用,第八章 企业破产法律制度,D,重整计划不得规定减免债务人欠缴的应纳入社会统筹账户的社会保险费用，该项费用的债权人不参加重整计划草案的表决，故本题应选择 D 选项。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/134702.html">2020年注册会计师考试《经济法》每日一练(7-2)</a>,单选 经济法
债权人乙申请对债务人甲公司进行破产清算，人民法院受理了其破产申请。根据企业破产法律制度的规定，在宣告甲公司破产前，下列人员中可以向人民法院申请 重整的有( )。,甲公司,出资额占甲公司注册资本 1/10 的出资人丙,其他债权人,出资额占甲公司注册资本 1/15 的出资人戊,第八章 企业破产法律制度,ABC,债权人申请对债务人进行破产清算的，在人民法院受理破 产申请后，宣告债务人破产前，债务人或者出资额占债务人注册资本 1/10 以上的出资人，可以向人民法院申请重整，其他债权人也可以申请对债务人进行重整。故本题应 选择 ABC 选项。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/134702.html">2020年注册会计师考试《经济法》每日一练(7-2)</a>,多选 经济法
根据企业破产法律制度的规定，普通债权人组通过重整计划草案需要经( )， 方视为普通债权人组通过重整计划草案。,出席会议的普通债权人过半数同意，并且其所代表的债权额占普通债权总额的 1/2 以上,出席会议的普通债权人过半数同意，并且其所代表的债权额占普通债权总额的 2/3 以上,所有的普通债权人过半数同意，并且其所代表的债权额占普通债权总额的 1/2以上,所有的普通债权人过半数同意，并且其所代表的债权额占普通债权总额的 2/3以上,第八章 企业破产法律制度,B,出席会议的同一表决组的债权人过半数同意重整计划草案，并且其所代表的债权额占该组债权总额的 2/3 以上，视为该组通过重整计划草案。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/134702.html">2020年注册会计师考试《经济法》每日一练(7-2)</a>,单选 经济法
根据《企业破产法》以及相关司法解释的规定，在重整期间，有下列( )情形之一的，经管理人或者利害关系人请求，人民法院应当裁定终止重整程序，并宣告 债务人破产。,债务人的经营状况和财产状况继续恶化，缺乏挽救的可能性,债务人有欺诈、恶意减少债务人财产或者其他显著不利于债权人的行为,由于债务人的行为致使管理人无法执行职务,债务人的出资人请求投资收益分配,第八章 企业破产法律制度,ABC,在重整期间，有下列情形之一的，经管理人或者利害关系 人请求，人民法院应当裁定终止重整程序，并宣告债务人破产：(1)债务人的经营状 况和财产状况继续恶化，缺乏挽救的可能性;(2)债务人有欺诈、恶意减少债务人财 产或者其他显著不利于债权人的行为;(3)由于债务人的行为致使管理人无法执行职 务。故本题应当选择 ABC 选项。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/134702.html">2020年注册会计师考试《经济法》每日一练(7-2)</a>,多选 经济法
债权人会议由依法申报债权的债权人组成。根据企业破产法律制度的规定，下列有关债权人会议的说法中，正确的是( )。,第一次债权人会议由管理人负责召集，自债权申报期限届满之日起 15 日内召开,破产债权人参加债权人会议，对决议事项均享有表决权,债权人会议的决议，应由出席会议的债权人过半数通过,债务人财产管理方案在债权人会议上若不能获得通过，应由人民法院裁定,第八章 企业破产法律制度,D,根据《企业破产法》规定，第一次债权人会议由“人民法院” 负责召集，自债权申报期限届满之日起 15 日内召开，选项 A 错误;选项 B 的说法太绝对，比如：对债务人的特定财产享有担保权的债权人，未放弃优先受偿权的，对于债权人会议表决的“和解协议”和“破产财产的分配方案”不享有表决权，所以选项B 错误;债权人会议的决议规则不仅是看人数，还要看债权额;如和解协议，由出席会议的有表决权的债权人过半数同意，并且其所代表的债权额占无财产担保债权总额的 2/3 以上;所以选项 C 错误;债权人会议表决不能通过“债务人财产管理方案和破产财产变价方案”的，由人民法院裁定;对“破产财产的分配方案”，债权人会议经“二次表决”仍不能通过的，由人民法院裁定，选项 D 正确。故本题正确答案为 D。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/134506.html">2020年注册会计师考试《经济法》每日一练(7-1)</a>,单选 经济法
