甲公司向乙公司签发一张银行承兑汇票，承兑银行为 A 银行。乙公司取得该票据后，为支付到期货款将该票据背书转让给丙公司，同时在票据上记载“如果丙公司 按时发货，那么背书有效”。根据票据与支付结算法律制度的规定，下列表述正确的 有 ( ) 。,背书附有条件，背书无效,背书所附条件不具有汇票上的效力，背书有效,丙公司不能取得票据权利,丙公司可以取得票据权利,第九章 票据与支付结算法律制度,BD,背书不得附有条件，背书附有条件的，所附条件不具有汇票 上的效力。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/136356.html">2020年注册会计师考试《经济法》每日一练(7-9)</a>,多选 经济法
甲公司向乙公司签发一张银行承兑汇票，付款银行为 A 银行，乙公司取得该票据后将该票据背书转让给丙公司，丙背书转让给丁公司，B 银行作为票据保证人在票据上签章，但是未记载被保证人名称，丁公司按期提示承兑遭到 A 银行拒绝。根据票据与支付结算法律制度的规定，被保证人视为( )。,甲公司,银行,乙公司,丙公司,第九章 票据与支付结算法律制度,A,已承兑的汇票，承兑人为被保证人;未承兑的汇票，出票人为被保证人。本题中票据被拒绝承兑，所以出票人甲公司为被保证人。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/136356.html">2020年注册会计师考试《经济法》每日一练(7-9)</a>,单选 经济法
乙应背书人甲的请求充当背书人甲的保证人，但乙在票据上载明只就 1 万元承担保证责任，而票据金额为 10 万元。乙行为的后果是( )。,我国不允许部分保证，该票据保证行为无效，乙不承担票据责任,保证有效，乙的票据保证责任范围为 1 万元,保证有效，乙就被保证人甲不能清偿部分承担责任,保证有效，乙应就全部金额承担票据责任,第九章 票据与支付结算法律制度,D,保证不得附有条件;附有条件的，不影响对汇票的保证责任。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/136356.html">2020年注册会计师考试《经济法》每日一练(7-9)</a>,单选 经济法
根据支付结算法律制度的规定，关于票据保证的下列表述中，正确的有( )。,票据上未记载保证日期的，被保证人的背书日期为保证日期,保证人未在票据或粘单上记载被保证人名称的已承兑票据，承兑人为被保证人,保证人为两人以上的，保证人之间承担连带责任,保证人清偿票据债务后，可以对被保证人及其前手行使追索权,第九章 票据与支付结算法律制度,BCD,根据规定，保证人未记载“保证日期”的，出票日期为保 证日期，因此选项 A 的说法错误。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/136356.html">2020年注册会计师考试《经济法》每日一练(7-9)</a>,多选 经济法
根据票据法律制度的规定，下列关于承兑的表述正确的是( )。,汇票和支票均需承兑,承兑附有条件的，条件无效，承兑有效，承兑人应当承担付款义务,承兑后，付款人改为承兑人，成为汇票上的主债务人，持票人即使未按期提示付款或未依法取证，也不丧失对承兑人的追索权,承兑行为的绝对必要记载事项包括承兑文句(“承兑”字样)、签章以及承兑日期,第九章 票据与支付结算法律制度,C,(1)选项 A：承兑为汇票独有的票据行为，支票无需承兑。(2) 选项 B：承兑附有条件的，视为拒绝承兑，即承兑行为因此无效;(3)选项 D： 承兑行为的绝对必要记载事项包括承兑文句(“承兑”字样)以及签章;承兑日期是相对必要记载事项，如果承兑人未记载承兑日期，则以收到提示承兑的汇票之日起的第 3 日为承兑日期。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/136356.html">2020年注册会计师考试《经济法》每日一练(7-9)</a>,单选 经济法
根据票据法律制度的规定，下列有关票据上签章效力的表述中，不正确的是( )。,出票人在票据上签章不符合规定的，票据无效,承兑人在票据上签章不符合规定的，票据无效,保证人在票据上签章不符合规定的，其签章无效，但不影响其他符合规定签章的效力,背书人在票据上签章不符合规定的，其签章无效，但不影响其他符合规定签章的效力,第九章 票据与支付结算法律制度,B,根据《票据管理实施办法》第十七条规定，出票人在票据上签章不符合票据法和本办法规定的，票据无效;背书人、承兑人、保证人在票据上签 章不符合票据法和本办法规定的，其签章无效，但是不影响票据上其他签章的效力。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/136629.html">2020年注册会计师考试《经济法》每日一练(7-10)</a>,单选 经济法
根据支付结算法律制度的规定，下列关于票据提示付款期限的表述中，不正确的是( )。,银行汇票的提示付款期限为自出票日起 1 个月,商业汇票的提示付款期限为自出票日起 10 日,银行本票的提示付款期限为自出票日起最长不得超过 2 个月,支票的提示付款期限为自出票日起 10 日,第九章 票据与支付结算法律制度,B,见票即付的汇票，自出票日起 1 个月内向付款人提示付款;定日付款、出票后定期付款或者见票后定期付款的汇票，自到期日起 10 日内向承兑人提示付款。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/136629.html">2020年注册会计师考试《经济法》每日一练(7-10)</a>,单选 经济法
根据票据法律制度的规定，关于汇票的付款，下列表述正确的有( )。,票据权利人可以自己提示付款，也可以委托代理人提示付款,接受付款提示的人，可以是付款人本人，也可以是代理付款人，还可以是票据交换系统,提示付款时，提示人应提交票据，还应提供合法身份证明或者有效证件,票据权利人丧失票据后，就不能再请求付款,第九章 票据与支付结算法律制度,ABC,如果票据权利人丧失了票据，就无法正常地提交票据以请 求付款，只能依照票据丧失的补救措施证明自己的权利，并持相应的法律文书请求付 款。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/136629.html">2020年注册会计师考试《经济法》每日一练(7-10)</a>,多选 经济法
关于票据权利保全，下列表述不正确的是( )。,见票即付的汇票无须提示承兑,汇票未按照规定期限提示承兑的，持票人丧失对其前手(包括出票人)的追索权,如果未在规定期限内提示付款，持票人即丧失对出票人、汇票承兑人之外的前手的追索权,如果持票人未取得拒绝证明或者具有相同效力的其他证明，或者在行使追索权时不出示该证明，则不能行使追索权，但仍享有对出票人、承兑人的追索权,第九章 票据与支付结算法律制度,B,汇票未按照规定期限提示承兑的，持票人丧失对其前手的追索权;汇票的持票人未遵期提示承兑的，并不丧失对出票人的追索权。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/136629.html">2020年注册会计师考试《经济法》每日一练(7-10)</a>,单选 经济法
 根据票据法律制度的规定，下列不属于汇票持票人可以取得期前追索权的情形有( )。,承兑人被宣告破产,付款人被责令终止业务活动,承兑附条件,出票人被宣告破产,第九章 票据与支付结算法律制度,D,持票人取得期前追索权的情形主要有：(1)被拒绝承兑(包 括承兑附条件);(2)承兑人或者付款人死亡、逃匿;(3)“承兑人或者付款人” 被宣告破产或者因违法被责令终止业务活动。略,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/136629.html">2020年注册会计师考试《经济法》每日一练(7-10)</a>,单选 经济法
根据票据法律制度的规定，汇票的出票人依法完成出票行为后即产生票据上的效力。下列表述中，正确的是( )。,收款人在汇票金额的付款请求权不能满足时，仅享有对出票人的追索权,付款人在出票人完成出票之日，即成为汇票上的主债务人,汇票签发后，如付款人不予付款，出票人应当承担票据责任,持票人变造汇票金额的，出票人不仅不对变造后汇票记载的内容承担责任，而且也不对变造前汇票记载的内容承担责任,第九章 票据与支付结算法律制度,C,选项 AC：收款人的付款请求权不能满足时，可以对出票人、承兑人、背书人和保证人行使追索权;选项 B：付款人经承兑后，才成为汇票上的主债务人;选项 D：持票人变造汇票金额的，出票人应对变造前汇票记载的内容承担票据责任。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/135991.html">2020年注册会计师考试《经济法》每日一练(7-8)</a>,单选 经济法
